id	start	end	kind	name	confidence	source	summary
data_region:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:40802F0B:40802F45	40802F0B	40802F45	data_region	string_cluster 40802F0B	0.7	stackimport	string_cluster
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:4080316B:40803240	4080316B	40803240	data_region	string_cluster 4080316B	0.7	stackimport	string_cluster
pointer_table:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40803280	40803280		pointer_table	Pointer table 40803280		rom_structure_analysis	
pointer_table:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40803380	40803380		pointer_table	Pointer table 40803380		rom_structure_analysis	
data_region:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:40803396:408034AA	40803396	408034AA	data_region	string_cluster 40803396	0.7	stackimport	string_cluster
pointer_table:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:408033C0	408033C0		pointer_table	Pointer table 408033C0		rom_structure_analysis	
pointer_table:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40803510	40803510		pointer_table	Pointer table 40803510		rom_structure_analysis	
pointer_table:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40803570	40803570		pointer_table	Pointer table 40803570		rom_structure_analysis	
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40803676:4080378A	40803676	4080378A	data_region	string_cluster 40803676	0.7	stackimport	string_cluster
pointer_table:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:408036A0	408036A0		pointer_table	Pointer table 408036A0		rom_structure_analysis	
pointer_table:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40803790	40803790		pointer_table	Pointer table 40803790		rom_structure_analysis	
pointer_table:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40803AB0	40803AB0		pointer_table	Pointer table 40803AB0		rom_structure_analysis	
data_region:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:40803CF6:40803EEA	40803CF6	40803EEA	data_region	string_cluster 40803CF6	0.7	stackimport	string_cluster
pointer_table:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40803E40	40803E40		pointer_table	Pointer table 40803E40		rom_structure_analysis	
pointer_table:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40803E80	40803E80		pointer_table	Pointer table 40803E80		rom_structure_analysis	
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40803FD6:408041CA	40803FD6	408041CA	data_region	string_cluster 40803FD6	0.7	stackimport	string_cluster
pointer_table:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40803FE0	40803FE0		pointer_table	Pointer table 40803FE0		rom_structure_analysis	
pointer_table:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40804080	40804080		pointer_table	Pointer table 40804080		rom_structure_analysis	
pointer_table:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40804130	40804130		pointer_table	Pointer table 40804130		rom_structure_analysis	
pointer_table:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:408041D0	408041D0		pointer_table	Pointer table 408041D0		rom_structure_analysis	
pointer_table:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:408044F0	408044F0		pointer_table	Pointer table 408044F0		rom_structure_analysis	
pointer_table:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:408048C0	408048C0		pointer_table	Pointer table 408048C0		rom_structure_analysis	
pointer_table:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40804970	40804970		pointer_table	Pointer table 40804970		rom_structure_analysis	
data_region:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:40804A66:40804ACA	40804A66	40804ACA	data_region	string_cluster 40804A66	0.7	stackimport	string_cluster
pointer_table:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40804D80	40804D80		pointer_table	Pointer table 40804D80		rom_structure_analysis	
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40804F66:40804FCA	40804F66	40804FCA	data_region	string_cluster 40804F66	0.7	stackimport	string_cluster
pointer_table:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40804F90	40804F90		pointer_table	Pointer table 40804F90		rom_structure_analysis	
pointer_table:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40804FD0	40804FD0		pointer_table	Pointer table 40804FD0		rom_structure_analysis	
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:408050F6:408051AA	408050F6	408051AA	data_region	string_cluster 408050F6	0.7	stackimport	string_cluster
pointer_table:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40805100	40805100		pointer_table	Pointer table 40805100		rom_structure_analysis	
pointer_table:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:408051B0	408051B0		pointer_table	Pointer table 408051B0		rom_structure_analysis	
pointer_table:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40805300	40805300		pointer_table	Pointer table 40805300		rom_structure_analysis	
pointer_table:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:408053C0	408053C0		pointer_table	Pointer table 408053C0		rom_structure_analysis	
pointer_table:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:408053F0	408053F0		pointer_table	Pointer table 408053F0		rom_structure_analysis	
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:408059AA:40805F70	408059AA	40805F70	data_region	string_cluster 408059AA	0.7	stackimport	string_cluster
data_region:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:40805AEC:40805B74	40805AEC	40805B74	data_region	string_cluster 40805AEC	0.7	stackimport	string_cluster
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40806074:408063DE	40806074	408063DE	data_region	string_cluster 40806074	0.7	stackimport	string_cluster
data_region:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:4080611A:40806FCC	4080611A	40806FCC	data_region	string_cluster 4080611A	0.7	stackimport	string_cluster
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40806804:4080685A	40806804	4080685A	data_region	string_cluster 40806804	0.7	stackimport	string_cluster
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40806964:40806D00	40806964	40806D00	data_region	string_cluster 40806964	0.7	stackimport	string_cluster
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40806E68:408074A2	40806E68	408074A2	data_region	string_cluster 40806E68	0.7	stackimport	string_cluster
data_region:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:4080713B:408074C2	4080713B	408074C2	data_region	string_cluster 4080713B	0.7	stackimport	string_cluster
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:408075B2:40807BE2	408075B2	40807BE2	data_region	string_cluster 408075B2	0.7	stackimport	string_cluster
data_region:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:40807758:40807802	40807758	40807802	data_region	string_cluster 40807758	0.7	stackimport	string_cluster
data_region:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:40807960:4080833A	40807960	4080833A	data_region	string_cluster 40807960	0.7	stackimport	string_cluster
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40807F65:4080806F	40807F65	4080806F	data_region	string_cluster 40807F65	0.7	stackimport	string_cluster
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40808170:408082E5	40808170	408082E5	data_region	string_cluster 40808170	0.7	stackimport	string_cluster
data_region:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:4080844A:408089DB	4080844A	408089DB	data_region	string_cluster 4080844A	0.7	stackimport	string_cluster
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:4080861E:408088D8	4080861E	408088D8	data_region	string_cluster 4080861E	0.7	stackimport	string_cluster
data_region:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:40808AE4:40808FAF	40808AE4	40808FAF	data_region	string_cluster 40808AE4	0.7	stackimport	string_cluster
data_region:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:408090F0:40809630	408090F0	40809630	data_region	string_cluster 408090F0	0.7	stackimport	string_cluster
data_region:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:4080978E:40809B1C	4080978E	40809B1C	data_region	string_cluster 4080978E	0.7	stackimport	string_cluster
data_region:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:40809F42:40809F94	40809F42	40809F94	data_region	string_cluster 40809F42	0.7	stackimport	string_cluster
