id	address	name	kind	confidence	source	target
function:40800074:early-rom-startup	40800074	Early ROM startup / supervisor setup	function	medium	agent_note	
function_candidate:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40815ACA	40815ACA	fn40815ACA	function_candidate		rom_structure_analysis	
function_candidate:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:40815ACA	40815ACA	fn40815ACA	function_candidate		rom_structure_analysis	
data_region:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:40816A2C:408177B0	40816A2C	string_cluster 40816A2C	data_region	0.7	stackimport	
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40817081:40817E15	40817081	string_cluster 40817081	data_region	0.7	stackimport	
function_candidate:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:408172F8	408172F8	fn408172F8	function_candidate		rom_structure_analysis	
function_candidate:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:408172F8	408172F8	fn408172F8	function_candidate		rom_structure_analysis	
data_region:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:40817AE4:4081844F	40817AE4	string_cluster 40817AE4	data_region	0.7	stackimport	
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:408180A5:40818188	408180A5	string_cluster 408180A5	data_region	0.7	stackimport	
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:408182D0:408187C6	408182D0	string_cluster 408182D0	data_region	0.7	stackimport	
data_region:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:408185A8:40818943	408185A8	string_cluster 408185A8	data_region	0.7	stackimport	
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:408189CD:40818B43	408189CD	string_cluster 408189CD	data_region	0.7	stackimport	
data_region:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:40818A94:40819F76	40818A94	string_cluster 40818A94	data_region	0.7	stackimport	
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40818CAC:40818DEB	40818CAC	string_cluster 40818CAC	data_region	0.7	stackimport	
function_candidate:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40818D36	40818D36	fn40818D36	function_candidate	0.95	rom_structure_analysis	
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40818EF8:40819399	40818EF8	string_cluster 40818EF8	data_region	0.7	stackimport	
function_candidate:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40819290	40819290	fn40819290	function_candidate		rom_structure_analysis	
function_candidate:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:40819290	40819290	fn40819290	function_candidate		rom_structure_analysis	
function_candidate:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:408192A6	408192A6	fn408192A6	function_candidate		rom_structure_analysis	
function_candidate:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:408192A6	408192A6	fn408192A6	function_candidate		rom_structure_analysis	
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:408194FC:4081A1A2	408194FC	string_cluster 408194FC	data_region	0.7	stackimport	
function_candidate:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:408194FE	408194FE	fn408194FE	function_candidate	0.95	rom_structure_analysis	
data_region:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:4081A085:4081B12D	4081A085	string_cluster 4081A085	data_region	0.7	stackimport	
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:4081A2A4:4081A8FE	4081A2A4	string_cluster 4081A2A4	data_region	0.7	stackimport	
function_candidate:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:4081A47A	4081A47A	fn4081A47A	function_candidate	0.95	stackimport	
function_candidate:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:4081A5D2	4081A5D2	fn4081A5D2	function_candidate		rom_structure_analysis	
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:4081AA02:4081B2D8	4081AA02	string_cluster 4081AA02	data_region	0.7	stackimport	
function_candidate:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:4081AF32	4081AF32	fn4081AF32	function_candidate		rom_structure_analysis	
function_candidate:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:4081AF58	4081AF58	fn4081AF58	function_candidate		rom_structure_analysis	
