id	start	end	kind	name	items	confidence	source	evidence
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40810E2C:40811687	40810E2C	40811687	string_cluster	string_cluster 40810E2C	35	0.7	stackimport	
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40811915:4081299A	40811915	4081299A	string_cluster	string_cluster 40811915	117	0.7	stackimport	
data_region:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:408125B4:408125DD	408125B4	408125DD	string_cluster	string_cluster 408125B4	3	0.7	stackimport	
data_region:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:408126E9:40812840	408126E9	40812840	string_cluster	string_cluster 408126E9	5	0.7	stackimport	
data_region:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:4081294D:40812A88	4081294D	40812A88	string_cluster	string_cluster 4081294D	5	0.7	stackimport	
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40812AC5:408133DE	40812AC5	408133DE	string_cluster	string_cluster 40812AC5	44	0.7	stackimport	
data_region:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:40812CDC:408135F0	40812CDC	408135F0	string_cluster	string_cluster 40812CDC	39	0.7	stackimport	
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40813606:40813B10	40813606	40813B10	string_cluster	string_cluster 40813606	28	0.7	stackimport	
data_region:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:408136F8:40814074	408136F8	40814074	string_cluster	string_cluster 408136F8	57	0.7	stackimport	
data_region:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:4081429C:408149D8	4081429C	408149D8	string_cluster	string_cluster 4081429C	45	0.7	stackimport	
data_region:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:40814B02:408168F5	40814B02	408168F5	string_cluster	string_cluster 40814B02	187	0.7	stackimport	
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:408152B9:408153B0	408152B9	408153B0	string_cluster	string_cluster 408152B9	3	0.7	stackimport	
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40815557:40815869	40815557	40815869	string_cluster	string_cluster 40815557	13	0.7	stackimport	
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40815984:40816F51	40815984	40816F51	string_cluster	string_cluster 40815984	163	0.7	stackimport	
data_region:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:40816A2C:408177B0	40816A2C	408177B0	string_cluster	string_cluster 40816A2C	77	0.7	stackimport	
data_region:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40817081:40817E15	40817081	40817E15	string_cluster	string_cluster 40817081	96	0.7	stackimport	
data_region:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:40817AE4:4081844F	40817AE4	4081844F	string_cluster	string_cluster 40817AE4	63	0.7	stackimport	
