id	address	kind	resource_type	resource_id	name	media_type	output_file	confidence	source
resource_marker:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:40964278:PACK	40964278	resource_marker	PACK		PACK marker 40964278				rom_structure_analysis
resource_marker:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40965D60:DRVR	40965D60	resource_marker	DRVR		DRVR marker 40965D60				rom_structure_analysis
resource_marker:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:4096EA20:DRVR	4096EA20	resource_marker	DRVR		DRVR marker 4096EA20				rom_structure_analysis
resource_marker:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:40970C94:PACK	40970C94	resource_marker	PACK		PACK marker 40970C94				rom_structure_analysis
resource_marker:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:4097154C:STR#	4097154C	resource_marker	STR#		STR# marker 4097154C				rom_structure_analysis
resource_marker:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40971786:DRVR	40971786	resource_marker	DRVR		DRVR marker 40971786				rom_structure_analysis
resource_marker:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40971802:DRVR	40971802	resource_marker	DRVR		DRVR marker 40971802				rom_structure_analysis
resource_marker:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40971C6C:DRVR	40971C6C	resource_marker	DRVR		DRVR marker 40971C6C				rom_structure_analysis
resource_marker:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40971C9A:DRVR	40971C9A	resource_marker	DRVR		DRVR marker 40971C9A				rom_structure_analysis
resource_marker:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40971D58:DRVR	40971D58	resource_marker	DRVR		DRVR marker 40971D58				rom_structure_analysis
resource_marker:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40971DE0:DRVR	40971DE0	resource_marker	DRVR		DRVR marker 40971DE0				rom_structure_analysis
resource_marker:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40971DF0:DRVR	40971DF0	resource_marker	DRVR		DRVR marker 40971DF0				rom_structure_analysis
resource_marker:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40971E00:DRVR	40971E00	resource_marker	DRVR		DRVR marker 40971E00				rom_structure_analysis
resource_marker:rom:1994-09---5--10--1----uadra-660av---840a:6973886C:2097152:40971E10:DRVR	40971E10	resource_marker	DRVR		DRVR marker 40971E10				rom_structure_analysis
resource_marker:rom:1995-08---4-27039-----owerbook-190---190:-638E37DD:2097152:40971E80:PACK	40971E80	resource_marker	PACK		PACK marker 40971E80				rom_structure_analysis
